Name,Last_Name,Age,Team,Games_Played,Goals,Assist,Points
Leon,Draisaitl,24,Edmonton Oilers,71,43,67,110
Connor,McDavid,23,Edmonton Oilers,,34,63,97
David,Pastrnak,23,Boston Bruins,70,48,47,95
Artemi,Panarin,28,New York Rangers,69,32,63,95
Nathan,MacKinnon,24,Colorado Avalanche,69,35,58,93
Brad,Marchand,31,Boston Bruins,70,28,59,87
Nikita,Kucherov,26,Tampa Bay Lightning,68,33,52,85
Patrick,Kane,31,Chicago Blackhawks,70,33,51,84
Auston,Matthews,22,Toronto Maple Leafs,70,47,33,80
Jack,Eichel,23,Buffalo Sabres,68,36,42,78